EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
BEC-ADM-R1-ETAG1_ELC,1.0,,,INSTALLATIONS ELECTRIQUE 1ER ETAGE R+1
LLK-AC-1850D-ARMELE,2.0,LLK-AC-1850D,1.0,Compresseur 40 bars TEMPO 1850 D
,,,,ETIQUETEUSE OPERA 300 SACMI
B7286T0001-S004,2.0,B7286T0024,1.0,BANDEROLEUSE ATLANTA
B7217T0002-S317,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B3970T0129,2.0,BLS-MCC,1.0,MCC
B7252T0022-ARMELE-CE,3.0,B7252T0022-ARMELE,2.0,ETIQUETEUSE OPERA 300 SACMI
B7272T0017-CIRGRA-GT,3.0,B7272T0017-CIRGRA,2.0,FARDELEUSE L3
B7759T0019-STALUB,2.0,B7759T0019,1.0,CONVOYEUR MECANIQUE  GEBO
B7759T0020-STALUB,2.0,B7759T0020,1.0,CONVOYEUR MECANIQUE  GEBO
B7252T0021-REGLAG-GE,3.0,B7252T0021-REGLAG,2.0,ETIQUETEUSE OPERA 300 SACMI
B4742A1150-K002,2.0,B7252T0022,1.0,ETIQUETEUSE OPERA 300 SACMI
B7790T0038,1.0,,,RAMPE DE CHARGEMENT N°02
B7214T0010-RS-PS-20,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7790T0037,1.0,,,RAMPE DE CHARGEMENT  N°01
B7790T0039,1.0,,,RAMPE DE CHARGEMENT N°03
BLS-LIGNE PRELAVAGE2,1.0,,,LIGNE PRELAVAGE2
B7252T0022-GRETIQ-EF,3.0,B7252T0022-GRETIQ,2.0,ETIQUETEUSE OPERA 300 SACMI
B7258T0012,1.0,,,CHECKMAT SORTIE ETIQUETEUSE
B7723T0004-SUL,2.0,B7723T0004,1.0,DRG450-60S5
CEV-AGRO-ALIM,1.0,,,RESEAU ANTI-INCENDIE CEVITAL AGRO-ALIMENTAIRE
B3970T0192,1.0,,,ARMOIRE CONTRÔLE TURBINE 1
B6220T0001-S020,3.0,B6220T0001-S008,2.0,VMC  A(SDA)
B9305T0001-PORSAS,1.0,,,PORTES SAS MATIERES 
B6533T0004,1.0,,,FILTRE PRESS S370
B8009T0003,1.0,,,PONT BASCULE WAGON
B4600R2000-A038,2.0,B6566T0003,1.0,CUITE R2 A622
